File Size,CDF
1125,0.0
1125,6.666666666666667e-05
1140,0.00013333333333333334
1140,0.0002
1155,0.0002666666666666667
1155,0.0003333333333333333
1170,0.0004
1170,0.00046666666666666666
1170,0.0005333333333333334
1215,0.0006
1230,0.0006666666666666666
1230,0.0007333333333333333
1230,0.0008
1230,0.0008666666666666666
1290,0.0009333333333333333
1305,0.001
1305,0.0010666666666666667
1305,0.0011333333333333334
1305,0.0012
1335,0.0012666666666666666
1335,0.0013333333333333333
1335,0.0014
1350,0.0014666666666666667
1350,0.0015333333333333334
1350,0.0016
1350,0.0016666666666666668
1350,0.0017333333333333333
1350,0.0018
1365,0.0018666666666666666
1380,0.0019333333333333333
1395,0.002
1395,0.0020666666666666667
1410,0.0021333333333333334
1410,0.0022
1410,0.002266666666666667
1410,0.0023333333333333335
1410,0.0024
1425,0.0024666666666666665
1440,0.002533333333333333
1440,0.0026
1440,0.0026666666666666666
1440,0.0027333333333333333
1470,0.0028
1485,0.0028666666666666667
1485,0.0029333333333333334
1485,0.003
1485,0.0030666666666666668
1485,0.0031333333333333335
1485,0.0032
1500,0.003266666666666667
1500,0.0033333333333333335
1500,0.0034
1515,0.0034666666666666665
1515,0.003533333333333333
1515,0.0036
1530,0.0036666666666666666
1530,0.0037333333333333333
1530,0.0038
1530,0.0038666666666666667
1530,0.003933333333333333
1545,0.004
1545,0.004066666666666666
1560,0.0041333333333333335
1590,0.0042
1605,0.004266666666666667
1605,0.004333333333333333
1620,0.0044
1635,0.0044666666666666665
1635,0.004533333333333334
1650,0.0046
1650,0.004666666666666667
1665,0.004733333333333333
1665,0.0048
1680,0.004866666666666667
1680,0.004933333333333333
1680,0.005
1695,0.005066666666666666
1695,0.0051333333333333335
1695,0.0052
1725,0.005266666666666667
1725,0.005333333333333333
1725,0.0054
1740,0.0054666666666666665
1740,0.005533333333333334
1755,0.0056
1770,0.005666666666666667
1770,0.005733333333333333
1770,0.0058
1785,0.005866666666666667
1800,0.005933333333333333
1800,0.006
1800,0.006066666666666666
1800,0.0061333333333333335
1800,0.0062
1815,0.006266666666666667
1815,0.006333333333333333
1815,0.0064
1815,0.006466666666666667
1830,0.006533333333333334
1830,0.0066
1830,0.006666666666666667
1830,0.006733333333333333
1845,0.0068
1845,0.006866666666666667
1860,0.006933333333333333
1860,0.007
1875,0.007066666666666666
1875,0.0071333333333333335
1890,0.0072
1890,0.007266666666666667
1905,0.007333333333333333
1920,0.0074
1920,0.007466666666666667
1935,0.007533333333333334
1935,0.0076
1935,0.007666666666666666
1950,0.007733333333333333
1950,0.0078
1965,0.007866666666666666
1965,0.007933333333333334
1980,0.008
1980,0.008066666666666666
1995,0.008133333333333333
2010,0.0082
2010,0.008266666666666667
2025,0.008333333333333333
2025,0.0084
2025,0.008466666666666667
2040,0.008533333333333334
2040,0.0086
2040,0.008666666666666666
2040,0.008733333333333333
2040,0.0088
2040,0.008866666666666667
2040,0.008933333333333333
2040,0.009
2055,0.009066666666666667
2055,0.009133333333333334
2055,0.0092
2055,0.009266666666666666
2070,0.009333333333333334
2085,0.0094
2085,0.009466666666666667
2085,0.009533333333333333
2100,0.0096
2100,0.009666666666666667
2115,0.009733333333333333
2130,0.0098
2130,0.009866666666666666
2130,0.009933333333333334
2145,0.01
2145,0.010066666666666666
2145,0.010133333333333333
2160,0.0102
2160,0.010266666666666667
2175,0.010333333333333333
2175,0.0104
2190,0.010466666666666668
2190,0.010533333333333334
2190,0.0106
2205,0.010666666666666666
2205,0.010733333333333333
2205,0.0108
2220,0.010866666666666667
2220,0.010933333333333333
2220,0.011
2220,0.011066666666666667
2220,0.011133333333333334
2220,0.0112
2235,0.011266666666666666
2235,0.011333333333333334
2235,0.0114
2250,0.011466666666666667
2250,0.011533333333333333
2250,0.0116
2250,0.011666666666666667
2265,0.011733333333333333
2280,0.0118
2280,0.011866666666666666
2280,0.011933333333333334
2280,0.012
2280,0.012066666666666667
2295,0.012133333333333333
2295,0.0122
2310,0.012266666666666667
2310,0.012333333333333333
2310,0.0124
2340,0.012466666666666666
2355,0.012533333333333334
2355,0.0126
2355,0.012666666666666666
